address,availability,bathroom,bedrooms,date_listed,date_update,furnished,gender,link,parking,pet,price,smoking,text,title,type_,user,views
"City Road, Southbank VIC",26/12/2019,1 Bathroom,1 Bedroom,2 hours ago,2 hours ago,Yes,,https://www.gumtree.com.au/s-ad/southbank/property-for-rent/173-city-road-one-bedroom-apartment-/1235089084,Covered,No,$420,No,"3 mins walk to Crown and 7 mins to Flinders!,420 dollars a week with bond for 2 weeks only !,Rent period for 2 months and may extend longer with agency.,There is a luxury swimming pool, gym and tennis court.,Thank you !,Please contact me at ******3403",173 City Road one bedroom apartment !,Apartment & Unit,"Samantha,Gummie since, ,2014","2, , views"
Blackburn South VIC,10/12/2019,1 Bathroom,1 Bedroom,32 minutes ago,32 minutes ago,Yes,,https://www.gumtree.com.au/s-ad/blackburn-south/property-for-rent/blackburn-south-furnished-1-bedroom-apartment-close-to-deakin/1235093585,Covered,,$420,,"***Furniture included***,This as new ground level apartment is the epitome of boutique luxury in a tranquil street location. It is a bright and stylish 1 bedroom 1 bathroom and 1 car space apartment presenting flowing open spaces designed incorporating wide Oak floors, high ceilings and the finest imported fittings as it showcases contemporary style, neutral tones and light-filled living zones. The property is located in the heart of Blackburn South, surrounded by retail (Burwood One & Forest Hill Chase), education (PLC and Deakin), transport (tram 75 and buses) and leisure options.",Blackburn South Furnished 1 Bedroom Apartment- close to Deakin,Apartment & Unit,"Eva,5, ,ads,Gummie since, ,2019","0, , views"
"Sugar Gum Drive, Bundoora, VIC",20/11/2019,2 Bathrooms,1 Bedroom,53 minutes ago,53 minutes ago,Yes,,https://www.gumtree.com.au/s-ad/bundoora/property-for-rent/room-avail-closeto-latrobe-and-rmit-unis-165pw-inc-bills/1202526792,Off Street,No,$160,No,"Fully furnished Room avail in large 4 Bedroom house, fully furnished and well equiped kitchen, close to public transport tram 86, and Bundoora shops, includes all Bills and unlimited wifi ! large verande bbq entertainment area overlooking bundoora park ! To make a viewing time call Martyn0404474678 for promp reply and arrange viewing times ! Smoking on veranda only","Room avail, closeto Latrobe and RMIT UNIS! 165PW INC BILLS",House,"frank,Gummie since, ,2009","2, , views"
leakes rd,02/12/2019,1 Bathroom,2 Bedrooms,29 minutes ago,29 minutes ago,No,,https://www.gumtree.com.au/s-ad/tarneit/property-for-rent/room-available-for-rent-in-tarniet/1235093965,Off Street,No,$450,No,"Hi,Room available for couple or single close to tarniet station,$700 per month for couple/$450 for single,Contact-******0922",Room available for rent in Tarniet,House,"Guri,Gummie since, ,2016","0, , views"
"Burwood VIC 3125, Australia",,,,21 minutes ago,21 minutes ago,,,https://www.gumtree.com.au/s-ad/burwood/property-for-rent/room-available-304-per-month/1235094876,,,$304.16,,"Shared Room available for a male in Burwood @ $304 per month. Just 500 metres from Deakin University. All students, no Interference.,Amenities include refrigerator, washing machine, microwave, oven, cupboard. For enquiries call at ******0756",Room available @$304 per month,,"Gaurav kumar,Gummie since, ,2019","2, , views"
Greenvale,02/12/2019,2 Bathrooms,4 Bedrooms,20 minutes ago,20 minutes ago,No,,https://www.gumtree.com.au/s-ad/greenvale/property-for-rent/property-for-rent-/1235094996,LUG,No,$685,No,"FOR RENT,Great location.,$685 per/week.,Four bedroom house located in the quiet suburb of Greenvale. Close to shops and medical centre. Great house for a family of any size. With four bedrooms two bathrooms two living areas and plenty of back yard for the kids to play. For more information about this property please sms me on the details provided below.",Property For Rent.,House,"Florian,Gummie since, ,2016","2, , views"
Clayton VIC,02/12/2019,1 Bathroom,2 Bedrooms,6 hours ago,6 hours ago,No,,https://www.gumtree.com.au/s-ad/clayton/property-for-rent/house-to-rent/1235065141,Covered,No,$410,No,"FULL RENOVATED HOME FRESH PAINTED FULL FLOOR BOARDS PRIVATE,BACK YAIRD 3 CAR SPACE VERY NICE BATH ROOM 1 MIN TO WALK TO WESTAL TRAIN STATIOIN CLOSE TO CLAYTON SHOPS AND MONASH UNI YOU HAVE EVERYTHING AROUND YOU VERY SPECIAL PRICE ******3612",house to rent,House,"Paul,Gummie since, ,2009","37, , views"
"Camberwell, VIC",20/10/2019,1 Bathroom,2 Bedrooms,6 hours ago,6 hours ago,Yes,,https://www.gumtree.com.au/s-ad/camberwell/property-for-rent/f-f-2br-unit-near-deakin-uni-and-swinburne-uni-train-tram-/1220620790,Street,No,$409,Yes,"Great Location near Deakin Uni / Swinburmn Uni .This fully Furnished self contained as New 2Large Bed Rooms unit is available to move from 18th October 2019 onwards for rent $425 pw plus bills extra. Bills like are not included in the rent . This unit comprise of two large size fully furnished Bed Rooms with free Standing Robes. Lounge/living furnished with Leather Couch set coffee table and TV stand, good size high quality Kitchen fitted with Stone Bench Top, Dishwasher / Pantry /Gas Cook Top and electric Oven/Range hood, meals area with Dining Table with six Chairs and Laundry with Front Loading Washers/trough. Bathroom fitted with Overhead Shower /Steam Sauna/ Telephone shower/ Water Jets for body massage, good size deep Linen Cup board.,One Large BR room is furnished with Base and Mattress, wardrobe and Large study desk, chair. Another large BR furnished with Queen Size base and mattress and computer work station.,Unit is fitted with good quality Hydronic Heating system and Ceiling Fans in all areas and gas cooking, gas water heating system. This is located within 4 mins of walk to Train Station, 6 mins walk to Coles/ Woolworth and 8 mins walk to Tram# 75 stop which goes to Deakin Uni in Burwood Swinburne uni 10 mins Train. Within walking distance to Hartwell Primary School and Close to many good schools like Camberwell high school Zone. Contact John on ******5511 to discuss further.",F/F  2BR unit Near Deakin Uni and Swinburne Uni Train/Tram!,Apartment & Unit,"John Sinha,Gummie since, ,2014","4, , views"
Camberwell VIC,20/10/2019,1 Bathroom,Studio or Bachelor Pad,6 hours ago,6 hours ago,Yes,,https://www.gumtree.com.au/s-ad/camberwell/property-for-rent/fully-furnished-studio-near-deakin-uni-tram-75-in-camberwell-/1223628414,Street,No,$209,No,"Large Fully Furnished Room /Studio as new avialable to move in from 20th October19 for rent $220 per week Bills not included.. Bathroom has Electronic Shower room with sauna and free laundry facility and basic kitchen facilty inside the room .,Room is furnished with Queen Size Pure Leather Bed with matress . Wardrobe, Large Side dressing table , Induction hot plate and Pots, Cooking accessories , Microwave oven , Fridge, Electric Kettle, Toaster , Cutleries , Plates etc. Room Heater . another cup board. Small table etc. Its located in great loaction in Camberwell within 4 mins walk to Hartwell Train staion, 8 mins walk to Tram #75 Stop in Torak Road , very convelient to Deakin Uni , Swinburn Uni and other Univercities in the CBD area. Woolworth and Coles within 8 mins walk and tram #70 stop in Riversdale Rd . Please call John on ******5511 to organize an inspection .",Fully Furnished Studio near Deakin Uni Tram 75 In Camberwell !,Other Rentals,"John Sinha,Gummie since, ,2014","10, , views"
albert st brunswick east,20/07/2019,1 Bathroom,2 Bedrooms,6 hours ago,6 hours ago,Yes,,https://www.gumtree.com.au/s-ad/brunswick-east/property-for-rent/amazing-warehouse-apartment-brunswick-east-still-available/1220681766,Street,No,$450,,"FOR RENT: Brunswick East,1-2 bedroom apartment.,Unique space built with in a warehouse located in one of the best spots inner Melbourne has to offer.,Tram stop 50mtrs from house. The apartment is only 4 months old so very clean and fresh!,There is a seperate bedroom, lounge, kitchen slash dining room and large bathroom. The lounge could be used as a second room for a child or as a studio/work space also.,Couples and single parents proffered but open to everyone 🙂,Other awesome things about the property:,- wood fired sauna,- plunge pool,- pool table,- veggie patch,- access to workshop space for the creative people,- close access to freeways,- 20 min tram ride to city,- 10 walk to merri creek and Ceres farm,Fully furnished and avaialable for min 3 months stay but preferred 6 plus,$450 a week,$1950 pcm,One month bond and one moth rent in advance,Bills $60 a week includes electricity, water and internet",Amazing Warehouse Apartment Brunswick East- still available,Apartment & Unit,"Matty,4, ,ads,Gummie since, ,2016","28, , views"
"348 Saint Kilda Road, Melbourne VIC 3004",,1 Bathroom,1 Bedroom,6 hours ago,6 hours ago,Yes,,https://www.gumtree.com.au/s-ad/southbank/property-for-rent/extra-large-fully-furnished-one-bedroom-with-pool-and-gym/1235065539,None,No,$495,No,"OPEN THIS WEDNESDAY 4TH DECEMBER 12.30 - 12.45PM,This fully furnished extra large one bedroom apartment comprises entrance hall, kitchen with stainless steel cooking appliances, dishwasher, fridge/freezer, open plan living with adjoining meals area, balcony, double sized bedroom with built in robes, separate bathroom with shower over bath, euro laundry with washer and dryer. Ideally located on St Kilda Road within the Seasons Hotel. Heated swimming pool, gym, spa and sauna. Botanical gardens and public transport at your doorstep.,Available 21st December 2019,To inspect call Natalie on ******1195 or as advertised.",EXTRA LARGE FULLY FURNISHED ONE BEDROOM WITH POOL AND GYM,Apartment & Unit,"Natalie,Gummie since, ,2015","7, , views"
Melbourne CBD,18/01/2020,2 Bathrooms,2 Bedrooms,6 hours ago,6 hours ago,Yes,,https://www.gumtree.com.au/s-ad/melbourne-cbd/property-for-rent/fully-furnished-luxury-2-bed-and-ensuite-apartment/1235065838,None,No,$600,No,"Fully furnished luxury 2 bedroom / 2 bathroom (each with ensuite) apartment available for rent from January 18, 2020. Top quality fittings and furniture. Beds, dining, couch, crockery cutlery, d/W, laundry. Just walk in and live in the heart of Melbourne CBD. Free tram zone. Offices, Restaurants & theatres at the doorstep. Suits working professionals only (not students) . Does not suit flatshare / subletting. (Maximum 2 people in apt) Non smoking. Quiet street with high security access. Looking for 1 year lease. Employee and referee check will be mandatory. Please express interest by writing a little bit about yourself and your needs.",Fully furnished luxury 2 bed and ensuite  apartment,Apartment & Unit,"anusha,Gummie since, ,2014","7, , views"
"13-15 May Street, Doncaster East VIC",02/12/2019,3 Bathrooms,4 Bedrooms,6 hours ago,6 hours ago,No,,https://www.gumtree.com.au/s-ad/doncaster-east/property-for-rent/brand-new-prime-location-townhome-for-lease-/1235066588,Covered,No,$680,No,"This brand new townhouse features four good size bedroom including a master bedroom on the ground floor with ensuite, open living and dining area on 1st floor with another master bedroom and two more bedrooms on the 2nd floor. With well-designed layout and zoning, you will enjoy your family time without sacrificing your own private time.,- Double garage,- Split system heating and cooling,- Bosch kitchen appliances (gas cooking stove, dishwasher, oven and rangehood),- Bedroom with BIRs, one master bedroom with WIR,- NBN Ready,- North facing, balcony on the 1st and 2nd floor,- Donburn Primary School (850m) and East Doncaster Secondary College (300m) Catchment,- Easily to reach shops, supermarkets, restaurants within 5 minutes driving time (<2km) ( Tunstall Square Shopping area, Woolworth Doncaster, Medical Centre, Vet, Chemist and much more),- Only 4km (7 mins driving) to Westfield Doncaster Shopping Centre,- Fast and easy access to Eastern Freeway (M3),feel free to call ******0314 for more information.",Brand New Prime Location Townhome For Lease!!!,Townhouse & Villa,"Danny,Gummie since, ,2019","6, , views"
Gell court,,,,6 hours ago,5 hours ago,,,https://www.gumtree.com.au/s-ad/noble-park/property-for-rent/room-rent/1235066879,,,$800,,"Hello everyone,,Myself Harpreet we have available room for rent in our house.we are punjabi family too.All the facilities available near to house..5mins walk to railway station &coles..rent is $600 per person including bills & 800 for 2people per month excluding bills.you can contact ******1031.,Thank you",Room rent,House,"Harpreet kaur,Gummie since, ,2019","5, , views"
Melbourne,30/11/2019,2 Bathrooms,2 Bedrooms,6 hours ago,6 hours ago,Yes,,https://www.gumtree.com.au/s-ad/melbourne-cbd/property-for-rent/just-available-stunning-2-bedroom-furnished-waterfront-apartment/1234764931,LUG,No,$900,No,"DON'T MISS THIS! This place won't last.,Fully Furnished Beautiful Two Bedroom Waterfront Apartment Southbank/Docklands area in a very presitigious building in the best part of Melbourne RIGHT opposite the Melbourne Convention Centre and South Wharf with stunning waterviews and the best views of the fireworks on New Year's Eve.,*RENTING THE WHOLE APARTMENT NOT SEPARATE ROOMS*,AVAILABLE FROM 30 NOVEMBER 2019 for mininum of 3 months.,Suitable for 1-4 people,Rent: $900 per week (bills included) or $950 per week (plus carspace and bills),Bond: 2 weeks rent,*3 Month Minimum Stay*,Features:,- Very quiet soundproof apartment right on the Yarra river and 5 minute walk to Melbourne CBD, Southern Cross Station, city trams, DFO South Wharf shopping centre, Crown Casino, South Wharf and Southbank restaurants.,- Queen size bed in bedroom 1,- King size bed in bedroom 2 (can be split into two separate beds if required),- Fully equipped apartment with everything you will need (including white bed linen, white towels, dishwasher, washing machine, iron, ironing board, dryer, cushions, TV, DVD, oven, microwave, dining table and chairs, plates, pots, cups, glasses, cutlery, cleaning equipment, vacuum cleaner, soap, cleaning products etc).,- Living room with balcony overlooking Yarra waterfront, with TV and L-Shaped Couch and coffee table,- Secure carspace garage if needed.,- Access to 25m swimming pool, fully equipped gymnasium, two saunas and a spa.,One main bathroom with bath, shower and toilet. And one separate toilet and laundry with washing machine and dryer.,Transport:,Tram and train stations only 5 minutes walk away. Less",JUST AVAILABLE - Stunning 2 bedroom furnished waterfront apartment,Apartment & Unit,"Julie,Gummie since, ,2008","12, , views"
368 flinder street,02/12/2019,,,6 hours ago,6 hours ago,Yes,,https://www.gumtree.com.au/s-ad/melbourne-cbd/property-for-rent/studio-apartment-lease-transfer-fliders/1235066786,,,$330,,"Hi folks,,A studio apartment is available $330 a week for lease transfer available now. Full furnished with study table, small Kitchenette and queen size bed. Utilities are included except electricity.,Call for enquire about more on this number ******5112.,Thanks",Studio apartment lease transfer @fliders,Apartment & Unit,"Muzammal Iqbal,Gummie since, ,2014","8, , views"
